Metro Code,CSA Code,Metro Name,CSA Title,County Name,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
41900,364,"San Germán, PR","Mayagüez-San Germán, PR",Lajas Municipio,Puerto Rico,72,79,Central
41900,364,"San Germán, PR","Mayagüez-San Germán, PR",Sabana Grande Municipio,Puerto Rico,72,121,Central
41900,364,"San Germán, PR","Mayagüez-San Germán, PR",San Germán Municipio,Puerto Rico,72,125,Central
41940,488,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-San Francisco-Oakland, CA",San Benito County,California,6,69,Outlying
41940,488,"San Jose-Sunnyvale-Santa Clara, CA","San Jose-San Francisco-Oakland, CA",Santa Clara County,California,6,85,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Aguas Buenas Municipio,Puerto Rico,72,7,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Aibonito Municipio,Puerto Rico,72,9,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Barceloneta Municipio,Puerto Rico,72,17,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Barranquitas Municipio,Puerto Rico,72,19,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Bayamón Municipio,Puerto Rico,72,21,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Caguas Municipio,Puerto Rico,72,25,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Canóvanas Municipio,Puerto Rico,72,29,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Carolina Municipio,Puerto Rico,72,31,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Cataño Municipio,Puerto Rico,72,33,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Cayey Municipio,Puerto Rico,72,35,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Ceiba Municipio,Puerto Rico,72,37,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Ciales Municipio,Puerto Rico,72,39,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Cidra Municipio,Puerto Rico,72,41,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Comerío Municipio,Puerto Rico,72,45,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Corozal Municipio,Puerto Rico,72,47,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Dorado Municipio,Puerto Rico,72,51,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Fajardo Municipio,Puerto Rico,72,53,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Florida Municipio,Puerto Rico,72,54,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Guaynabo Municipio,Puerto Rico,72,61,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Gurabo Municipio,Puerto Rico,72,63,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Humacao Municipio,Puerto Rico,72,69,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Juncos Municipio,Puerto Rico,72,77,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Las Piedras Municipio,Puerto Rico,72,85,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Loíza Municipio,Puerto Rico,72,87,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Luquillo Municipio,Puerto Rico,72,89,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Manatí Municipio,Puerto Rico,72,91,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Maunabo Municipio,Puerto Rico,72,95,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Morovis Municipio,Puerto Rico,72,101,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Naguabo Municipio,Puerto Rico,72,103,Outlying
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Naranjito Municipio,Puerto Rico,72,105,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Orocovis Municipio,Puerto Rico,72,107,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Río Grande Municipio,Puerto Rico,72,119,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",San Juan Municipio,Puerto Rico,72,127,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",San Lorenzo Municipio,Puerto Rico,72,129,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Toa Alta Municipio,Puerto Rico,72,135,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Toa Baja Municipio,Puerto Rico,72,137,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Trujillo Alto Municipio,Puerto Rico,72,139,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Vega Alta Municipio,Puerto Rico,72,143,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Vega Baja Municipio,Puerto Rico,72,145,Central
41980,490,"San Juan-Bayamón-Caguas, PR","San Juan-Bayamón, PR",Yabucoa Municipio,Puerto Rico,72,151,Central
42020,,"San Luis Obispo-Paso Robles, CA",,San Luis Obispo County,California,6,79,Central
42100,488,"Santa Cruz-Watsonville, CA","San Jose-San Francisco-Oakland, CA",Santa Cruz County,California,6,87,Central
42140,106,"Santa Fe, NM","Albuquerque-Santa Fe-Las Vegas, NM",Santa Fe County,New Mexico,35,49,Central
42180,434,"Santa Isabel, PR","Ponce-Yauco-Coamo, PR",Santa Isabel Municipio,Puerto Rico,72,133,Central
42200,,"Santa Maria-Santa Barbara, CA",,Santa Barbara County,California,6,83,Central
42220,488,"Santa Rosa-Petaluma, CA","San Jose-San Francisco-Oakland, CA",Sonoma County,California,6,97,Central
42300,,"Sault Ste. Marie, MI",,Chippewa County,Michigan,26,33,Central
42340,496,"Savannah, GA","Savannah-Hinesville-Statesboro, GA",Bryan County,Georgia,13,29,Central
42340,496,"Savannah, GA","Savannah-Hinesville-Statesboro, GA",Chatham County,Georgia,13,51,Central
42340,496,"Savannah, GA","Savannah-Hinesville-Statesboro, GA",Effingham County,Georgia,13,103,Outlying
42380,,"Sayre, PA",,Bradford County,Pennsylvania,42,15,Central
42420,,"Scottsbluff, NE",,Banner County,Nebraska,31,7,Outlying
42420,,"Scottsbluff, NE",,Scotts Bluff County,Nebraska,31,157,Central
42420,,"Scottsbluff, NE",,Sioux County,Nebraska,31,165,Outlying
42460,497,"Scottsboro, AL","Scottsboro-Fort Payne, AL",Jackson County,Alabama,1,71,Central
42500,350,"Scottsburg, IN","Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN",Scott County,Indiana,18,143,Central
42540,,"Scranton--Wilkes-Barre, PA",,Lackawanna County,Pennsylvania,42,69,Central
42540,,"Scranton--Wilkes-Barre, PA",,Luzerne County,Pennsylvania,42,79,Central
42540,,"Scranton--Wilkes-Barre, PA",,Wyoming County,Pennsylvania,42,131,Outlying
42620,340,"Searcy, AR","Little Rock-North Little Rock, AR",White County,Arkansas,5,145,Central
42660,500,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA",King County,Washington,53,33,Central
42660,500,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA",Snohomish County,Washington,53,61,Central
42660,500,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA",Pierce County,Washington,53,53,Central
42680,370,"Sebastian-Vero Beach, FL","Miami-Port St. Lucie-Fort Lauderdale, FL",Indian River County,Florida,12,61,Central
42700,,"Sebring-Avon Park, FL",,Highlands County,Florida,12,55,Central
42740,,"Sedalia, MO",,Pettis County,Missouri,29,159,Central
42780,146,"Selinsgrove, PA","Bloomsburg-Berwick-Sunbury, PA",Snyder County,Pennsylvania,42,109,Central
42820,388,"Selma, AL","Montgomery-Selma-Alexander City, AL",Dallas County,Alabama,1,47,Central
42860,273,"Seneca, SC","Greenville-Spartanburg-Anderson, SC",Oconee County,South Carolina,45,73,Central
42900,464,"Seneca Falls, NY","Rochester-Batavia-Seneca Falls, NY",Seneca County,New York,36,99,Central
42940,315,"Sevierville, TN","Knoxville-Morristown-Sevierville, TN",Sevier County,Tennessee,47,155,Central
42980,294,"Seymour, IN","Indianapolis-Carmel-Muncie, IN",Jackson County,Indiana,18,71,Central
43020,267,"Shawano, WI","Green Bay-Shawano, WI",Menominee County,Wisconsin,55,78,Outlying
43020,267,"Shawano, WI","Green Bay-Shawano, WI",Shawano County,Wisconsin,55,115,Central
43060,416,"Shawnee, OK","Oklahoma City-Shawnee, OK",Pottawatomie County,Oklahoma,40,125,Central
43100,,"Sheboygan, WI",,Sheboygan County,Wisconsin,55,117,Central
43140,172,"Shelby, NC","Charlotte-Concord, NC-SC",Cleveland County,North Carolina,37,45,Central
43180,400,"Shelbyville, TN","Nashville-Davidson--Murfreesboro, TN",Bedford County,Tennessee,47,3,Central
43220,500,"Shelton, WA","Seattle-Tacoma, WA",Mason County,Washington,53,45,Central
43260,,"Sheridan, WY",,Sheridan County,Wyoming,56,33,Central
43300,206,"Sherman-Denison, TX","Dallas-Fort Worth, TX-OK",Grayson County,Texas,48,181,Central
43320,,"Show Low, AZ",,Navajo County,Arizona,4,17,Central
43340,508,"Shreveport-Bossier City, LA","Shreveport-Bossier City-Minden, LA",Bossier Parish,Louisiana,22,15,Central
43340,508,"Shreveport-Bossier City, LA","Shreveport-Bossier City-Minden, LA",Caddo Parish,Louisiana,22,17,Central
43340,508,"Shreveport-Bossier City, LA","Shreveport-Bossier City-Minden, LA",De Soto Parish,Louisiana,22,31,Outlying
43380,212,"Sidney, OH","Dayton-Springfield-Kettering, OH",Shelby County,Ohio,39,149,Central
43420,,"Sierra Vista-Douglas, AZ",,Cochise County,Arizona,4,3,Central
43460,164,"Sikeston, MO","Cape Girardeau-Sikeston, MO-IL",Scott County,Missouri,29,201,Central
43500,,"Silver City, NM",,Grant County,New Mexico,35,17,Central
43580,,"Sioux City, IA-NE-SD",,Woodbury County,Iowa,19,193,Central
43580,,"Sioux City, IA-NE-SD",,Dakota County,Nebraska,31,43,Central
43580,,"Sioux City, IA-NE-SD",,Dixon County,Nebraska,31,51,Outlying
43580,,"Sioux City, IA-NE-SD",,Union County,South Dakota,46,127,Central
43620,,"Sioux Falls, SD",,Lincoln County,South Dakota,46,83,Central
43620,,"Sioux Falls, SD",,McCook County,South Dakota,46,87,Outlying
43620,,"Sioux Falls, SD",,Minnehaha County,South Dakota,46,99,Central
43620,,"Sioux Falls, SD",,Turner County,South Dakota,46,125,Outlying
43660,,"Snyder, TX",,Scurry County,Texas,48,415,Central
43700,,"Somerset, KY",,Pulaski County,Kentucky,21,199,Central
43740,306,"Somerset, PA","Johnstown-Somerset, PA",Somerset County,Pennsylvania,42,111,Central
43760,,"Sonora, CA",,Tuolumne County,California,6,109,Central
43780,515,"South Bend-Mishawaka, IN-MI","South Bend-Elkhart-Mishawaka, IN-MI",St. Joseph County,Indiana,18,141,Central
43780,515,"South Bend-Mishawaka, IN-MI","South Bend-Elkhart-Mishawaka, IN-MI",Cass County,Michigan,26,27,Central
43900,273,"Spartanburg, SC","Greenville-Spartanburg-Anderson, SC",Spartanburg County,South Carolina,45,83,Central
43940,452,"Spearfish, SD","Rapid City-Spearfish, SD",Lawrence County,South Dakota,46,81,Central
43980,517,"Spencer, IA","Spencer-Spirit Lake, IA",Clay County,Iowa,19,41,Central
44020,517,"Spirit Lake, IA","Spencer-Spirit Lake, IA",Dickinson County,Iowa,19,59,Central
44060,518,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID",Spokane County,Washington,53,63,Central
44060,518,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID",Stevens County,Washington,53,65,Outlying
44100,522,"Springfield, IL","Springfield-Jacksonville-Lincoln, IL",Menard County,Illinois,17,129,Outlying
44100,522,"Springfield, IL","Springfield-Jacksonville-Lincoln, IL",Sangamon County,Illinois,17,167,Central
44140,,"Springfield, MA",,Franklin County,Massachusetts,25,11,Outlying
44140,,"Springfield, MA",,Hampden County,Massachusetts,25,13,Central
44140,,"Springfield, MA",,Hampshire County,Massachusetts,25,15,Central
44180,,"Springfield, MO",,Christian County,Missouri,29,43,Central
44180,,"Springfield, MO",,Dallas County,Missouri,29,59,Outlying
44180,,"Springfield, MO",,Greene County,Missouri,29,77,Central
44180,,"Springfield, MO",,Polk County,Missouri,29,167,Outlying
44180,,"Springfield, MO",,Webster County,Missouri,29,225,Outlying
44220,212,"Springfield, OH","Dayton-Springfield-Kettering, OH",Clark County,Ohio,39,23,Central
44260,,"Starkville, MS",,Oktibbeha County,Mississippi,28,105,Central
44260,,"Starkville, MS",,Webster County,Mississippi,28,155,Outlying
44300,524,"State College, PA","State College-DuBois, PA",Centre County,Pennsylvania,42,27,Central
44340,496,"Statesboro, GA","Savannah-Hinesville-Statesboro, GA",Bulloch County,Georgia,13,31,Central
44420,277,"Staunton, VA","Harrisonburg-Staunton, VA",Augusta County,Virginia,51,15,Central
44420,277,"Staunton, VA","Harrisonburg-Staunton, VA",Staunton City,Virginia,51,790,Central
44420,277,"Staunton, VA","Harrisonburg-Staunton, VA",Waynesboro City,Virginia,51,820,Central
